term,definition
"BIM Building Infomation Modeling 건설공사 빌딩 정보 3D 모델","건축·토목·설비 정보를 3D 모델에 통합하여 설계·시공·운영 단계에서 협업·분석을 지원하는 기술 및 프로세스"
"BP Best Practice","건설공사 수행 과정에서 검증된 최적 방법이나 절차를 의미하며 품질·효율 향상을 위한 표준으로 활용"
"Baseline 기준 공정표","프로젝트 일정·원가·범위 등에 대한 기준이 되는 기준선. 실제 실적과 비교하여 성과를 측정하는 기준"
"CBS Cost Breakdown Structure 공사 원가 세부항목","전체 프로젝트 원가를 세부 항목으로 계층화한 구조. 원가 관리·통제에 활용"
"CQI Construction Quality Index 시공 품질 평가 및 관리 지표","건설 품질 지수(Construction Quality Index)로 공사현장의 품질 성과를 정량적으로 평가하기 위한 지표"
"DRI Daily Risk Inspection 위험성 점검","작업 시작 전에 위험인자 및 작업 시 주의사항 등을 미리 파악하는 절차. 작업 전 수행할 작업에 대한 위험요인 검토 및 안전대책을 수립"
"DRI D-1 Risk Inspection 위험성 점검","작업 1일 전 사전 점검을 통해 Risk 도출하고 대책을 수집한 자료로 담당자 검토 후 해당 내용을 근로자에게 교육"
"DfQ Design for Quality 설계 단계 공사 품질 확보","건설공사의 설계 단계에서 품질 확보를 목표로 하는 Design for Quality 원칙 및 절차"
"DfS Design for Safety 설계 단계 공사 안전 확보","건설공사의 설계단계에서 사전에 위험요소를 발굴하여 위험성 평가와 저감대책을 수립하고 설계에 반영하여 위험요소를 제거하는 활동"
"HSE health safety environment  안전보건환경기준","HSE(Health, Safety, Environment)는 건설 현장의 보건·안전·환경 정책·지표를 통합 관리하는 체계"
"NCR Non-Conformance Report 부적합 사항 보고서","건설공사에서 공사 중 발생한 품질, 설계서, 시방서, 절차 등에서 벗어나는 부적합 사항을 기록하고 시정 조치를 요구하는 문서"
"PEP Project Execution Plan 공사 수행 계획","프로젝트를 실행하고 감시·통제하기 위한 절차·목표·자원·일정 등을 체계적으로 기술한 공사 수행 계획"
"PO Purchase Order 구매요청","발주자가 공급자에게 물품·서비스 제공을 요청하고 계약 조건을 명시한 공식 구매 요청"
